Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72
Acaryochloris marina;17.15586;0;32.14917;0;0;8.82113;43.34634;0;0;0;0;0;0;0;0;0;42.89084;0;63.20114;0;43.57773;102.17114;23.91844;14.08327;13.03071;22.99203;27.28073;15.80472;21.19323;25.00136;20.65635;0;0;0;15.61768;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter aceti;5.20928;68.96552;0;0;0;10.26747;75.67159;0;0;0;0;0;0;0;0;0;0;0;0;0;114.11183;89.20607;13.05006;6.14704;1.62508;0;4.33004;6.20869;17.23395;17.95326;8.63525;0;0;0;0;0;0;0;0;0;0;0;0;0;50.85177;0;0
Acetobacter oryzifermentans;0;82.13552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.31038;0;0;7.32172;0;15.93752;5.15743;2.05417;2.61618;5.87005;3.02508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter pasteurianus;21.69053;0;0;0;0;0;0;0;0;0;0;0;0;0;148.25797;0;0;0;0;0;97.46589;0;15.04765;39.37783;10.41005;0;2.77385;11.48983;10.39053;37.88477;15.29346;75.41478;0;45.52697;0;77.91196;0;0;0;0;41.08463;0;0;0;0;0;0
Acetobacter persici;23.27607;238.56859;64.72492;0;0;8.87942;0;0;0;0;0;0;58.44535;0;133.42228;0;0;0;0;0;87.7193;0;3.00956;21.26453;16.86451;7.71486;4.99289;11.53416;16.3653;16.64245;16.40002;0;0;0;0;0;0;0;146.0387;44.54343;36.97541;0;0;0;58.63383;0;60.02401
Acetobacter pomorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.03988;4.25089;0;5.66332;9.02266;1.32591;2.76249;1.99308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter senegalensis;7.48274;0;0;0;0;0;0;0;0;0;19.22707;0;0;0;0;0;0;0;0;0;72.85974;85.43358;0;5.88668;6.22481;0;0;4.95465;9.86982;10.1132;4.37788;0;0;34.03097;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter sp;5.19863;91.78522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.47295;0;4.3247;0;0;4.58966;2.47303;4.6841;3.37947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter tropicalis;4.25687;64.41224;0;0;0;8.39027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.75015;5.74086;0;12.49688;8.08783;3.86557;3.78705;6.90394;7.11578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacterium woodii;28.78492;0;0;64.26735;0;28.36745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.0324;0;22.83517;22.64493;21.7009;61.61429;23.92678;26.36586;30.03157;53.81678;26.66473;0;0;0;0;0;49.46822;0;0;0;29.53337;0;0;0;46.83841;57.27377;0
Acetohalobium arabaticum;34.37641;104.00416;0;0;0;38.71767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.37235;0;57.08437;37.08855;45.34703;60.55101;35.92189;32.25706;43.32502;53.098;27.19942;0;0;0;0;0;81.03728;0;0;0;0;0;0;0;0;0;0
Acetomicrobium mobile;16.83899;0;0;120.33694;0;8.85054;0;0;0;0;34.61405;0;0;0;0;0;0;0;0;0;131.14754;0;33.7473;42.39084;11.20652;0;14.92983;24.97547;13.10792;35.8064;23.64428;101.47133;0;0;47.00353;0;0;0;0;66.60007;0;0;0;0;0;0;0
Acholeplasma brassicae;165.3405;0;0;0;0;53.46641;0;0;0;0;0;0;0;0;0;0;0;0;109.46907;0;0;0;46.59832;134.13816;53.19149;53.0856;141.72823;81.42487;85.46894;43.29609;22.67208;0;0;0;0;0;213.10602;0;0;0;63.61323;0;0;0;0;0;0
