Species,r_value,p_value,stError,euclidean,distribution
Helicobacter pylori,0.9542,0.0,1e-05,0.135,uniform
Thermotoga maritima,0.8883,0.0,3e-05,0.321,uniform
Deinococcus radiodurans,0.9597,0.0,1e-05,0.16,uniform
Mycobacterium tuberculosis,0.9609,0.0,1e-05,0.468,uniform
Aquifex aeolicus,0.9634,0.0,1e-05,0.221,uniform
Clostridium acetobutylicum,0.8874,0.0,0.0,0.003,uniform
Neisseria meningitidis,0.9049,0.0,0.0,0.014,uniform
Chlamydia muridarum,0.8968,0.0,3e-05,0.493,uniform
Xylella fastidiosa,0.8112,0.0,2e-05,0.082,uniform
Vibrio cholerae,0.9234,0.0,1e-05,0.028,uniform
Pseudomonas aeruginosa,0.9441,0.0,0.0,0.014,uniform
Streptococcus pyogenes,0.8131,0.0,1e-05,0.019,uniform
Pasteurella multocida,0.9102,0.0,0.0,0.007,uniform
Neisseria gonorrhoeae,0.8919,0.0,0.0,0.015,uniform
Lactococcus lactis,0.8731,0.0,0.0,0.015,uniform
Streptococcus pneumoniae,0.9271,0.0,0.0,0.03,uniform
Caulobacter crescentus,0.9497,0.0,1e-05,0.111,uniform
Shigella flexneri,0.7396,0.0,2e-05,0.074,uniform
Salmonella enterica,0.8922,0.0,0.0,0.011,uniform
Chlorobium tepidum,0.9406,0.0,1e-05,0.106,uniform
Agrobacterium tumefaciens,0.8195,0.0,2e-05,0.063,uniform
Thermoanaerobacter tengcongensis,0.9028,0.0,1e-05,0.027,uniform
Zymomonas mobilis,0.8422,0.0,2e-05,0.069,uniform
Xanthomonas campestris,0.8857,0.0,1e-05,0.034,uniform
Xanthomonas axonopodis,0.9735,0.0,0.0,0.113,uniform
Streptococcus agalactiae,0.9143,0.0,0.0,0.015,uniform
Fusobacterium nucleatum,0.9212,0.0,0.0,0.029,uniform
Yersinia pestis,0.6694,0.0,2e-05,0.037,uniform
Xanthomonas oryzae,0.9453,0.0,0.0,0.055,uniform
Streptococcus mutans,0.7878,0.0,0.0,0.006,uniform
Bifidobacterium longum,0.8897,0.0,1e-05,0.131,uniform
Shewanella oneidensis,0.8759,0.0,0.0,0.011,uniform
Pseudomonas putida,0.8961,0.0,0.0,0.012,uniform
Porphyromonas gingivalis,0.8978,0.0,1e-05,0.009,uniform
Chlamydophila caviae,0.849,0.0,3e-05,0.438,uniform
Clostridium tetani,0.8475,0.0,0.0,0.007,uniform
Bacteroides thetaiotaomicron,0.8947,0.0,0.0,0.005,uniform
Staphylococcus epidermidis,0.881,0.0,0.0,0.013,uniform
Leifsonia xyli,0.8636,0.0,2e-05,0.087,uniform
Leptospira interrogans,0.8664,0.0,0.0,0.008,uniform
Chromobacterium violaceum,0.9214,0.0,0.0,0.018,uniform
Mannheimia succiniciproducens,0.8424,0.0,1e-05,0.012,uniform
Coxiella burnetii,0.9253,0.0,1e-05,0.11,uniform
Enterococcus faecalis,0.8016,0.0,0.0,0.003,uniform
Pseudomonas syringae,0.9212,0.0,0.0,0.021,uniform
Bacillus cereus,0.8783,0.0,0.0,0.005,uniform
Bacillus anthracis,0.8862,0.0,0.0,0.004,uniform
Mycobacterium avium,0.9089,0.0,1e-05,0.074,uniform
Helicobacter hepaticus,0.7901,0.0,2e-05,0.056,uniform
Prochlorococcus marinus,0.953,0.0,1e-05,0.103,uniform
Haemophilus ducreyi,0.8366,0.0,1e-05,0.03,uniform
Geobacter sulfurreducens,0.9336,0.0,1e-05,0.057,uniform
Rickettsia typhi,0.8939,0.0,2e-05,0.255,uniform
Lactobacillus johnsonii,0.8079,0.0,1e-05,0.027,uniform
Treponema denticola,0.7267,0.0,1e-05,0.006,uniform
Mycoplasma hyopneumoniae,0.8717,0.0,3e-05,0.382,uniform
Mycoplasma synoviae,0.8722,0.0,2e-05,0.255,uniform
Listeria monocytogenes,0.7828,0.0,1e-05,0.014,uniform
Methylococcus capsulatus,0.9124,0.0,1e-05,0.093,uniform
Mycoplasma mobile,0.9197,0.0,2e-05,0.498,uniform
Bacillus licheniformis,0.9457,0.0,0.0,0.018,uniform
Idiomarina loihiensis,0.8405,0.0,1e-05,0.038,uniform
Legionella pneumophila,0.8836,0.0,0.0,0.011,uniform
Bacillus thuringiensis,0.8476,0.0,0.0,0.005,uniform
Ureaplasma parvum,0.9179,0.0,2e-05,0.345,uniform
Francisella tularensis,0.8715,0.0,2e-05,0.201,uniform
Staphylococcus aureus,0.8814,0.0,0.0,0.011,uniform
Dehalococcoides sp,0.7897,0.0,6e-05,0.448,uniform
Bacillus subtilis,0.8752,0.0,1e-05,0.019,uniform
Campylobacter jejuni,0.9083,0.0,1e-05,0.033,uniform
Mycoplasma pulmonis,0.8872,0.0,2e-05,0.188,uniform
Sinorhizobium meliloti,0.8953,0.0,1e-05,0.061,uniform
Listeria innocua,0.8676,0.0,0.0,0.011,uniform
Streptomyces coelicolor,0.895,0.0,1e-05,0.03,uniform
