Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049153_FP56;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049163_S56;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72;SRR7049258_MP75
Aggregatibacter phage;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;3;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacillus phage;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bacteroides phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clostridium phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Enterococcus phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Escherichia phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lactobacillus phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Propionibacterium phage;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salmonella phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Staphylococcus phage;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0
Streptococcus phage;8;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;28;17;2;1;17;0
Vibrio phage;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Peptoclostridium phage;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;2;0;2;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetobacter oryzifermentans;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;5;13;14;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Acetomicrobium mobile;15;0;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;15;8;2;8;0;4;42;45;59;54;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4
Acholeplasma brassicae;128;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;18;22;2;33;4;33;119;255;62;45;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0
Acidihalobacter prosperus;18;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;8;2;0;8;0;2;16;76;44;44;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Acidimicrobium ferrooxidans;20;2;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;6;2;0;4;0;1;14;55;40;30;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0
Acinetobacter guillouiae;33;18;0;0;0;27;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;25;24;24;11;1;13;0;14;91;207;160;121;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0
AdenoAssociated virus2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agrobacterium rhizogenes;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;8;6;0;0;2;4;2;38;32;30;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0
Alcanivorax pacificus;10;2;2;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;8;0;4;4;3;24;0;10;14;95;68;26;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Algibacter alginicilyticus;64;4;0;0;0;24;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;32;8;4;26;3;14;79;241;131;123;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2
Alteromonas stellipolaris;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;4;4;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anaplasma ovis;16;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;8;0;0;16;30;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antarctobacter heliothermus;16;0;0;0;2;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;8;0;10;2;0;8;6;4;34;117;40;39;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Aquaspirillum sp;24;2;0;0;0;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;4;8;2;6;14;0;2;42;127;133;49;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Azospirillum thiophilum;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;3;0;0;2;14;26;17;28;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0
Bacillus methylotrophicus;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;6;0;2;12;12;14;22;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Bacillus oceanisediminis;84;0;0;0;0;21;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;6;2;19;24;4;25;2;10;81;200;115;128;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Bacterium AB1;5;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;6;2;6;0;0;8;40;18;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bartonella ancashensis;11;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;0;6;0;5;14;72;18;49;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Bibersteinia trehalosi;33;4;0;2;2;64;0;4;2;0;0;2;2;0;2;0;0;0;0;2;0;3;4;18;6;17;40;6;50;136;315;243;43;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;2;4
Bifidobacterium thermophilum;21;2;2;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;28;22;4;21;7;2;23;80;48;74;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
Blattabacterium cuenoti;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;12;44;24;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borrelia mayonii;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;40;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borrelia parkeri;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;18;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borreliella bavariensis;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borreliella bissettii;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;10;12;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borreliella burgdorferi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Borreliella garinii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bradyrhizobium diazoefficiens;29;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;14;2;12;8;6;10;2;4;48;100;43;38;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Bradyrhizobium icense;39;6;2;0;2;6;0;0;2;2;0;0;0;0;0;1;0;0;0;0;0;32;6;10;0;4;11;0;8;44;165;85;94;0;0;2;2;0;2;2;0;0;0;4;0;0;0;0;0;0
Bradyrhizobium oligotrophicum;14;7;0;0;0;10;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;14;4;12;10;4;10;2;8;22;129;66;55;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0
Bradyrhizobium ottawaense;8;8;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;7;19;6;6;12;0;4;29;155;62;50;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
