Species,r_value,p_value,stError,euclidean,distribution
Saccharopolyspora erythraea,0.9932,0.0,0.0,0.466,uniform
Sorangium cellulosum,0.9967,0.0,0.0,0.152,uniform
Rhodococcus erythropolis,0.9893,0.0,0.0,0.016,uniform
Bradyrhizobium japonicum,0.9849,0.0,0.0,0.278,uniform
Rubrivivax gelatinosus,0.9865,0.0,0.0,0.302,uniform
Bradyrhizobium diazoefficiens,0.9977,0.0,0.0,0.236,uniform
Bacteroides vulgatus,0.9647,0.0,1e-05,0.18,uniform
Pseudomonas stutzeri,0.9878,0.0,0.0,0.25,uniform
Candidatus Solibacter,0.9952,0.0,0.0,0.344,uniform
Polaromonas naphthalenivorans,0.9629,0.0,1e-05,0.468,uniform
Acidovorax sp,0.9831,0.0,0.0,0.367,uniform
Verminephrobacter eiseniae,0.959,0.0,0.0,0.246,uniform
Frankia sp,0.9939,0.0,0.0,0.26,uniform
Delftia acidovorans,0.9525,0.0,1e-05,0.415,uniform
Leptothrix cholodnii,0.9829,0.0,0.0,0.262,uniform
Ralstonia pickettii,0.9807,0.0,0.0,0.007,uniform
Comamonas thiooxydans,0.98,0.0,0.0,0.455,uniform
Variovorax paradoxus,0.9875,0.0,0.0,0.106,uniform
Catenulispora acidiphila,0.9983,0.0,0.0,0.282,uniform
Haliangium ochraceum,0.9873,0.0,0.0,0.259,uniform
Amycolatopsis mediterranei,0.9753,0.0,0.0,0.179,uniform
Stigmatella aurantiaca,0.981,0.0,0.0,0.445,uniform
Alicycliphilus denitrificans,0.9971,0.0,0.0,0.268,uniform
Acidovorax avenae,0.9876,0.0,0.0,0.376,uniform
Delftia sp,0.9841,0.0,0.0,0.42,uniform
Collimonas fungivorans,0.9897,0.0,0.0,0.315,uniform
Actinoplanes sp,0.9913,0.0,0.0,0.464,uniform
Nocardia brasiliensis,0.9808,0.0,0.0,0.313,uniform
Myxococcus stipitatus,0.9952,0.0,0.0,0.414,uniform
Myxococcus fulvus,0.9788,0.0,0.0,0.243,uniform
Kutzneria albida,0.9941,0.0,0.0,0.434,uniform
Rhodoplanes sp,0.9935,0.0,0.0,0.299,uniform
Sandaracinus amylolyticus,0.9856,0.0,0.0,0.158,uniform
Planctomyces sp,0.9877,0.0,0.0,0.48,uniform
Gemmata sp,0.9898,0.0,0.0,0.401,uniform
Polyangium brachysporum,0.9974,0.0,0.0,0.456,uniform
Archangium gephyra,0.9867,0.0,0.0,0.261,uniform
Mitsuaria sp,0.9848,0.0,0.0,0.252,uniform
Streptomyces noursei,0.9789,0.0,1e-05,0.494,uniform
Chondromyces crocatus,0.9861,0.0,0.0,0.272,uniform
Labilithrix luteola,0.9958,0.0,0.0,0.21,uniform
Cutibacterium acnes,0.9917,0.0,0.0,0.391,uniform
Kibdelosporangium phytohabitans,0.9955,0.0,0.0,0.365,uniform
Paucibacter sp,0.9948,0.0,0.0,0.494,uniform
Roseateles depolymerans,0.9793,0.0,0.0,0.494,uniform
Rhizobacter gummiphilus,0.9917,0.0,0.0,0.195,uniform
Bacteroides caecimuris,0.9993,0.0,0.0,0.335,uniform
Pseudomonas antarctica,0.9923,0.0,0.0,0.254,uniform
Acinetobacter schindleri,0.9895,0.0,0.0,0.415,uniform
Amycolatopsis orientalis,0.9943,0.0,0.0,0.427,uniform
Minicystis rosea,0.9953,0.0,0.0,0.078,uniform
Bradyrhizobium icense,0.992,0.0,0.0,0.248,uniform
Lentzea guizhouensis,0.997,0.0,0.0,0.406,uniform
Hydrogenophaga sp,0.9849,0.0,0.0,0.198,uniform
Delftia tsuruhatensis,0.9548,0.0,1e-05,0.298,uniform
Nonomuraea sp,0.98,0.0,0.0,0.095,uniform
Pseudomonas veronii,0.9976,0.0,0.0,0.156,uniform
Acinetobacter junii,0.9663,0.0,0.0,0.105,uniform
Paludisphaera borealis,0.9926,0.0,0.0,0.358,uniform
Rhodoferax sp,0.989,0.0,0.0,0.073,uniform
Cystobacter fuscus,0.9962,0.0,0.0,0.182,uniform
Melittangium boletus,0.9896,0.0,0.0,0.409,uniform
Variovorax boronicumulans,0.9933,0.0,0.0,0.021,uniform
Janthinobacterium svalbardensis,0.9941,0.0,0.0,0.165,uniform
Streptomyces malaysiensis,0.9771,0.0,0.0,0.321,uniform
Streptomyces lavendulae,0.9882,0.0,0.0,0.395,uniform
Kitasatospora sp,0.98,0.0,0.0,0.403,uniform
Achromobacter sp,0.9872,0.0,0.0,0.323,uniform
Bradyrhizobium ottawaense,0.983,0.0,0.0,0.498,uniform
Bradyrhizobium paxllaeri,0.9865,0.0,0.0,0.268,uniform
Saccharothrix espanaensis,0.9891,0.0,0.0,0.488,uniform
