Species,r_value,p_value,stError,euclidean,distribution
Helicobacter pylori,0.9385,0.0,2e-05,0.182,uniform
Clostridium acetobutylicum,0.9333,0.0,0.0,0.012,uniform
Neisseria meningitidis,0.9068,0.0,1e-05,0.009,uniform
Xylella fastidiosa,0.8866,0.0,3e-05,0.188,uniform
Vibrio cholerae,0.8812,0.0,2e-05,0.055,uniform
Pseudomonas aeruginosa,0.8518,0.0,1e-05,0.05,uniform
Streptococcus pyogenes,0.915,0.0,0.0,0.016,uniform
Pasteurella multocida,0.8098,0.0,1e-05,0.015,uniform
Neisseria gonorrhoeae,0.9006,0.0,1e-05,0.01,uniform
Lactococcus lactis,0.8735,0.0,1e-05,0.034,uniform
Streptococcus pneumoniae,0.758,0.0,2e-05,0.015,uniform
Caulobacter crescentus,0.8618,0.0,2e-05,0.207,uniform
Shigella flexneri,0.8784,0.0,2e-05,0.127,uniform
Salmonella enterica,0.9261,0.0,1e-05,0.037,uniform
Chlorobium tepidum,0.9386,0.0,2e-05,0.287,uniform
Agrobacterium tumefaciens,0.9566,0.0,1e-05,0.206,uniform
Thermoanaerobacter tengcongensis,0.9224,0.0,1e-05,0.064,uniform
Zymomonas mobilis,0.8436,0.0,3e-05,0.133,uniform
Xanthomonas campestris,0.9099,0.0,1e-05,0.078,uniform
Xanthomonas axonopodis,0.9856,0.0,0.0,0.353,uniform
Streptococcus agalactiae,0.8724,0.0,1e-05,0.012,uniform
Fusobacterium nucleatum,0.8566,0.0,0.0,0.005,uniform
Yersinia pestis,0.8958,0.0,1e-05,0.07,uniform
Xanthomonas oryzae,0.942,0.0,1e-05,0.115,uniform
Streptococcus mutans,0.9358,0.0,0.0,0.019,uniform
Shewanella oneidensis,0.9443,0.0,0.0,0.022,uniform
Pseudomonas putida,0.945,0.0,0.0,0.03,uniform
Porphyromonas gingivalis,0.9604,0.0,0.0,0.006,uniform
Clostridium tetani,0.9069,0.0,1e-05,0.026,uniform
Bacteroides thetaiotaomicron,0.8911,0.0,0.0,0.003,uniform
Staphylococcus epidermidis,0.9388,0.0,1e-05,0.093,uniform
Leptospira interrogans,0.8311,0.0,1e-05,0.012,uniform
Chromobacterium violaceum,0.8948,0.0,1e-05,0.028,uniform
Mannheimia succiniciproducens,0.8397,0.0,1e-05,0.02,uniform
Coxiella burnetii,0.7604,0.0,0.0001,0.294,uniform
Enterococcus faecalis,0.8696,0.0,1e-05,0.011,uniform
Pseudomonas syringae,0.9195,0.0,1e-05,0.029,uniform
Bacillus cereus,0.8847,0.0,0.0,0.014,uniform
Bacillus anthracis,0.942,0.0,0.0,0.018,uniform
Mycobacterium avium,0.8913,0.0,2e-05,0.273,uniform
Helicobacter hepaticus,0.9402,0.0,1e-05,0.253,uniform
Prochlorococcus marinus,0.852,0.0,3e-05,0.246,uniform
Haemophilus ducreyi,0.882,0.0,2e-05,0.14,uniform
Geobacter sulfurreducens,0.928,0.0,1e-05,0.192,uniform
Lactobacillus johnsonii,0.8207,0.0,2e-05,0.069,uniform
Treponema denticola,0.8501,0.0,2e-05,0.045,uniform
Listeria monocytogenes,0.9169,0.0,1e-05,0.034,uniform
Methylococcus capsulatus,0.9487,0.0,1e-05,0.164,uniform
Bacillus licheniformis,0.6951,0.0,3e-05,0.029,uniform
Idiomarina loihiensis,0.8719,0.0,2e-05,0.088,uniform
Legionella pneumophila,0.7963,0.0,2e-05,0.037,uniform
Bacillus thuringiensis,0.9543,0.0,0.0,0.02,uniform
Francisella tularensis,0.9735,0.0,1e-05,0.425,uniform
Staphylococcus aureus,0.8721,0.0,1e-05,0.039,uniform
Bacillus subtilis,0.8748,0.0,1e-05,0.053,uniform
Campylobacter jejuni,0.9246,0.0,2e-05,0.172,uniform
