Species;raspir_c030;raspir_c050;raspir_c070;raspir_c100;raspir_c200;raspir_c300;raspir_c400;raspir_c500;normal_c030;normal_c050;normal_c070;normal_c100;normal_c200;normal_c300;normal_c400;normal_c500
Rothia mucilaginosa;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Rothia dentocariosa;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
Pseudomonas aeruginosa;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Pseudomonas resinovorans;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2
Pseudomonas denitrificans;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2
Pseudomonas citronellolis;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;0
Pseudomonas knackmussii;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2
Streptococcus salivarius;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Streptococcus pneumoniae;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Streptococcus mitis;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Streptococcus thermophilus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Streptococcus agalactiae;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2
Streptococcus equinus;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Streptococcus gallolyticus;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2
Streptococcus oralis;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0
Streptococcus sanguinis;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
Streptococcus suis;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
Streptococcus macedonicus;0;0;0;0;0;0;0;0;0;2;0;2;2;2;2;2
Streptococcus gordonii;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2
Streptococcus parasanguinis;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2
Streptococcus pseudopneumoniae;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2
Streptococcus pyogenes;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
Streptococcus lutetiensis;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0
Streptococcus infantarius;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2
Streptococcus iniae;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2
Staphylococcus aureus;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Staphylococcus argenteus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
Eubacterium sulci;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Escherichia coli;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Escherichia albertii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Escherichia fergusonii;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2
Shigella dysenteriae;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2
Shigella boydii;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2
Shigella sonnei;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2
Shigella flexneri;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2
